Participant Name,Stream,Participation tier,Website/LinkedIn URL,Result,Company,Website,Industry,# Employees,Annual Revenue,Total Funding,Company Phone,Company Linkedin Url,Company Street,Company City,Company Postal Code,Company State,Company Country,Company Founded Year
3M Canada,3,Tier 6 - Committed,https://www.3mcanada.ca/3M/en_CA/company-ca/,Matched,3m Company Canada,http://www.3mcanada.ca,"",6,"","","",http://www.linkedin.com/company/3m-company-canada,"",Brockville,"",Ontario,Canada,1902
Aecon Group Inc,3,Tier 6 - Committed,https://www.aecon.com/,Matched,Aecon Group Inc.,http://www.aecon.com,construction,12000,4600000000,"",+1416-297-2600,http://www.linkedin.com/company/aecon,20 Carlson Court,Toronto,M9W 7K6,Ontario,Canada,1877
Arcelormittal Dofasco,1,Tier 6 - Committed,https://dofasco.arcelormittal.com/sustainability,Matched,ArcelorMittal,http://www.arcelormittal.com,mining & metals,158000,440000,"",+352 47 921,http://www.linkedin.com/company/arcelormittal,24 Boulevard d'Avranches,Luxembourg,1160,District de Luxembourg,Luxembourg,2006
Aviva Canada,2,Tier 6 - Committed,https://www.aviva.ca/en/about-aviva/sustainability/climate-action/,Matched,Aviva Canada,http://www.aviva.ca,insurance,4600,497000000,"",+1-800-387-4518,http://www.linkedin.com/company/aviva-canada,10 Aviva Way,Markham,L6G 0G1,Ontario,Canada,1835
BASF Canada,1,Tier 6 - Committed,https://www.basf.com/ca/en.html,Matched,BASF,http://www.basf.com,chemicals,112000,12200000,"",+49 621 600,http://www.linkedin.com/company/basf,38 Carl-Bosch-Strasse,Ludwigshafen am Rhein,67063,Rheinland-Pfalz,Germany,1865
BHP Canada,1,Tier 6 - Committed,https://www.bhp.com/sustainability,Matched,BHP,http://www.bhp.com,mining & metals,80000,3528000000,"",+61 1300 656 780,http://www.linkedin.com/company/bhp,171 Collins Street,Melbourne,3000,Victoria,Australia,1851
Calian Group Ltd.,3,Tier 6 - Committed,https://www.calian.com/our-story/,Matched,Calian Group,http://www.calian.com,management consulting,1000,487761000,"",+1 613-599-8600,http://www.linkedin.com/company/calian,770 Palladium Drive,Ottawa,K2V 1C8,Ontario,Canada,1982
Canada Post,3,Tier 2 - Platinum,https://www.canadapost-postescanada.ca/cpc/en/our-company/about-us/corporate-sustainability/environment-responsibility.page,Matched,Canada Post / Postes Canada,http://www.canadapost-postescanada.ca,package/freight delivery,72000,5200000000,"",+1(866) 607-6301,http://www.linkedin.com/company/canada-post,2701 Riverside Dr,Ottawa,K1V,Ontario,Canada,1867
Carleton University,3,Tier 6 - Committed,https://carleton.ca/,Matched,Carleton University,http://www.carleton.ca,higher education,6800,667153000,958869,+1 613-520-2600,http://www.linkedin.com/school/carleton-university,1125 Colonel by Dr,Ottawa,K1S 5B6,Ontario,Canada,1942
"Cement Association of Canada

Ash Grove Cement - a CRH Company
Federal White Cement, Ltd.
Heidelberg Materials
Lafarge Canada
St Marys Cement - A Votorantim Cimentos Company",1,Tier 5 - Bronze,https://cement.ca/,Matched,Cement Association of Canada,http://www.cement.ca,building materials,28,"","",+1 613-236-9471,http://www.linkedin.com/company/cement-association-of-canada,350 Sparks St,Ottawa,K1R 7S8,Ontario,Canada,""
CN,3,Tier 6 - Committed,https://www.cn.ca/en/,Matched,CN,http://www.cn.ca,transportation/trucking/railroad,12000,16828000000,"",+1 888-888-5909,http://www.linkedin.com/company/cn,935 Rue de la Gauchetiere Ouest,Montreal,H3B 2M9,Quebec,Canada,1919
Cogeco,3,Tier 6 - Committed,https://corpo.cogeco.com/cgo/en/sustainability/esg-practices/overview/,Matched,Cogeco Inc.,"",telecommunications,4400,2168544000,"",+1 514-764-4700,http://www.linkedin.com/company/cogeco-inc,1 Place Ville-Marie,Montreal,H3B 3N2,Quebec,Canada,1957
Deloitte,3,Tier 6 - Committed,https://www2.deloitte.com/ca/en/pages/about-deloitte/articles/home.html,Matched,UCRYA,http://www.deloitte.com,information technology & services,9,36100000000,42076447,+1 407-362-7691,http://www.linkedin.com/company/ucrya,14740 West 101st Terrace,Lenexa,66215,Kansas,United States,2014
Edmonton Regional Airports Authority,3,Tier 6 - Committed,https://flyeia.com/corporate/,Matched,Edmonton International Airport (YEG),http://www.flyeia.com,airlines/aviation,290,"",19800000,+1 780-890-8382,http://www.linkedin.com/company/edmonton-international-airport,1000 Airport Rd,"",T9E 0V3,Alberta,Canada,1960
General Motors of Canada Company,3,Tier 6 - Committed,https://www.gm.ca/en/home.html,Matched,Butler Chevrolet Oldsmobile Pontiac Buick Cadillac Ltd.,http://www.gm.ca,financial services,3,"","",+18666977482,http://www.linkedin.com/company/butler-chevrolet-oldsmobile-pontiac-buick-cadillac-ltd-,1908 Colonel Sam Dr,Oshawa,L1H 8P7,Ontario,Canada,1908
Greater Toronto Airports Authority,3,Tier 6 - Committed,https://www.torontopearson.com/en/corporate,Matched,Greater Toronto Airports Authority,http://www.torontopearson.com,airlines/aviation,1300,510100000,400000000,+1 800-461-9999,http://www.linkedin.com/company/greater-toronto-airports-authority,3111 Convair Drive,Mississauga,L4W 2P7,Ontario,Canada,1996
Loblaw Companies Limited,3,Tier 6 - Committed,https://www.loblaw.ca/,Matched,Loblaw Companies Limited,http://www.loblaw.ca,retail,221000,59500000000,"",+1 800 296 2332,http://www.linkedin.com/company/loblaw-companies-limited,1 Presidents Choice Circle,Brampton,L6Y 5S5,Ontario,Canada,1919
Microsoft Canada,3,Tier 6 - Committed,https://www.microsoft.com/en-ca/sustainability/,Matched,Microsoft,http://www.microsoft.com,information technology & services,229000,227580000000,"",+1 425-882-8080,http://www.linkedin.com/company/microsoft,1 Microsoft Way,Redmond,98052,Washington,United States,1975
Ottawa International Airport Authority,3,Tier 6 - Committed,https://yow.ca/en,Matched,Ottawa International Airport Authority / Administration de l'aéroport international d'Ottawa,http://www.yow.ca,airlines/aviation,170,"","",+1 613-248-2000,http://www.linkedin.com/company/yow-ottawa,1000 Airport Parkway Pvt,Ottawa,K1V 9B4,Ontario,Canada,1997
QuadReal Property Group,3,Tier 6 - Committed,https://www.quadreal.com/esg/our-net-zero-commitment/,Matched,QuadReal Property Group,http://www.quadreal.com,real estate,1200,120000000,656106000,+1604-975-9500,http://www.linkedin.com/company/quadreal,666 Burrard St,Vancouver,V6C 2X8,British Columbia,Canada,2016
Shell Canada Limited,1,Tier 3 - Gold,https://www.shell.ca/,Matched,shell canada,http://www.shell.ca,"",45,5000000000,"",+1 979-567-3597,http://www.linkedin.com/company/shell-canada,400 4 Avenue Southwest,Calgary,T2P 0J4,Alberta,Canada,1911
Siemens Canada Limited,3,Tier 6 - Committed,https://new.siemens.com/ca/en.html,Matched,Siemens,http://www.siemens.com,machinery,320000,74444000000,"",+49 89 38035491,http://www.linkedin.com/company/siemens,1 Werner-von-Siemens-Strasse,Munich,80333,Bavaria,Germany,1847
AtkinsRéalis,3,Tier 6 - Committed,https://www.atkinsrealis.com/en/engineering-better-future/engineering-net-zero,Matched,Atkins,http://www.atkinsrealis.com,architecture & planning,14000,2700000000,"",+44 137 272 6140,http://www.linkedin.com/company/atkins,Ashley Road,"",KT18 5BN,England,United Kingdom,1911
TEKsystems Canada,3,Tier 6 - Committed,https://www.teksystems.com/en-ca/,Matched,TEKsystems,http://www.teksystems.com,information technology & services,26000,7000000000,"",+1-410-540-7700,http://www.linkedin.com/company/teksystems,7437 Race Road,Hanover,21076,Maryland,United States,1983
Vancouver Airport Authority,3,Tier 6 - Committed,https://www.yvr.ca/en/passengers,Matched,Vancouver Airport Authority,http://www.yvr.ca,airlines/aviation,690,218847000,"",+1 604-207-7077,http://www.linkedin.com/company/vancouver-airport-authority,3211 Grant McConachie Way,Richmond,V7B 0A4,British Columbia,Canada,1992
Woodfibre LNG Limited,1,Tier 6 - Committed,https://woodfibrelng.ca/,Matched,Woodfibre LNG,http://www.woodfibrelng.ca,oil & energy,120,"","",+1888-801-7929,http://www.linkedin.com/company/woodfibrelng,"",Vancouver,V6E 0B2,British Columbia,Canada,2013
CGI Inc.,3,Tier 6 - Committed,https://www.cgi.com/canada/en-ca,Matched,CGI,http://www.cgi.com,information technology & services,91000,10780000000,"",+1 514-841-3200,http://www.linkedin.com/company/cgi,1350 Boulevard Rene-Levesque Ouest,Montreal,H3G 1T4,Quebec,Canada,1976
Hewlett Packard Enterprise (HPE) Canada,3,Tier 6 - Committed,https://www.hpe.com/us/en/newsroom/sustainability.html,Matched,Hewlett Packard Enterprise,http://www.hpe.com,information technology & services,78000,873000000,"",+1 678-259-9860,http://www.linkedin.com/company/hewlett-packard-enterprise,1701 E Mossy Oaks Rd,Spring,77389-1913,Texas,United States,2015
Convergint Technologies Ltd,3,Tier 6 - Committed,https://www.convergint.com/,Matched,Convergint,http://www.convergint.com,security & investigations,7700,1000000000,66704898,+1 847-620-5000,http://www.linkedin.com/company/convergint,1 Commerce Drive,Schaumburg,60173,Illinois,United States,2001
"Duvaltex Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://duvaltex.com/en/company/,Matched,DUVALTEX,http://www.duvaltex.com,textiles,220,1960000,"",+1 418-781-2248,http://www.linkedin.com/company/duvaltex,1035 Avenue Wilfrid-Pelletier,Quebec City,G1W 0C5,Quebec,Canada,2015
Procom Consultants Group Ltd,3,Tier 6 - Committed,https://procomservices.com/en-us/,Matched,Procom,http://www.procomservices.com,information technology & services,1300,268268000,"",+1 919-829-1009,http://www.linkedin.com/company/procom,2200 Yonge St,Toronto,M4S 2C6,Ontario,Canada,1978
CBC/Radio-Canada,3,Tier 6 - Committed,https://cbc.radio-canada.ca/en/impact-and-accountability/environment,Matched,CBC/Radio-Canada,http://www.radio-canada.ca,media production,14000,125110000,"",+1 613-288-6000,http://www.linkedin.com/company/cbcradiocanada,181 Queen St,Ottawa,K1P 1K9,Ontario,Canada,1936
Paladin Technologies Inc.,3,Tier 6 - Committed,https://paladintechnologies.com/,Matched,Paladin Technologies,http://www.paladintechnologies.com,information technology & services,990,400000000,"",+1 604-676-0136,http://www.linkedin.com/company/paladintechnologies,1277 E Georgia St,Vancouver,V6A 2A9,British Columbia,Canada,1991
NORR Architects & Engineers Limited,3,Tier 6 - Committed,https://norr.com/about/corporate-social-responsibility/energy-carbon/,Matched,NORR,http://www.norr.com,architecture & planning,890,95811000,"",+1 613-241-5300,http://www.linkedin.com/company/norr,175 Bloor Street East,Toronto,"",Ontario,Canada,1938
