Participant Name,Stream,Participation tier
3M Canada,3,Tier 6 - Committed
Aecon Group Inc,3,Tier 6 - Committed
Arcelormittal Dofasco,1,Tier 6 - Committed
Aviva Canada,2,Tier 6 - Committed
BASF Canada,1,Tier 6 - Committed
BHP Canada,1,Tier 6 - Committed
Calian Group Ltd.,3,Tier 6 - Committed
Canada Post,3,Tier 2 - Platinum
Carleton University,3,Tier 6 - Committed
"Cement Association of Canada

Ash Grove Cement - a CRH Company
Federal White Cement, Ltd.
Heidelberg Materials
Lafarge Canada
St Marys Cement - A Votorantim Cimentos Company",1,Tier 5 - Bronze
CN,3,Tier 6 - Committed
Cogeco,3,Tier 6 - Committed
Deloitte,3,Tier 6 - Committed
Edmonton Regional Airports Authority,3,Tier 6 - Committed
General Motors of Canada Company,3,Tier 6 - Committed
Greater Toronto Airports Authority,3,Tier 6 - Committed
Loblaw Companies Limited,3,Tier 6 - Committed
Microsoft Canada,3,Tier 6 - Committed
Ottawa International Airport Authority,3,Tier 6 - Committed
QuadReal Property Group,3,Tier 6 - Committed
Shell Canada Limited,1,Tier 3 - Gold
Siemens Canada Limited,3,Tier 6 - Committed
AtkinsRéalis,3,Tier 6 - Committed
TEKsystems Canada,3,Tier 6 - Committed
Vancouver Airport Authority,3,Tier 6 - Committed
Woodfibre LNG Limited,1,Tier 6 - Committed
CGI Inc.,3,Tier 6 - Committed
Hewlett Packard Enterprise (HPE) Canada,3,Tier 6 - Committed
Convergint Technologies Ltd,3,Tier 6 - Committed
"Duvaltex Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed
Procom Consultants Group Ltd,3,Tier 6 - Committed
CBC/Radio-Canada,3,Tier 6 - Committed
Paladin Technologies Inc.,3,Tier 6 - Committed
NORR Architects & Engineers Limited,3,Tier 6 - Committed
EBC Inc.,3,Tier 6 - Committed
Pomerleau Inc.,3,Tier 6 - Committed
AECOM Canada Ltd,3,Tier 6 - Committed
PCL Canada,3,Tier 6 - Committed
Indigo Park Canada,3,Tier 6 - Committed
WSP Canada Inc.,3,Tier 6 - Committed
Aéroports de MontréalAeroport - Airport,3,Tier 6 - Committed
Colliers Project Leaders Inc.,3,Tier 6 - Committed
Canada Lands Company Limited,3,Tier 6 - Committed
BGIS Global Integrated Solutions Canada L.P.,3,Tier 6 - Committed
GCT Global Container Terminals,3,Tier 6 - Committed
EllisDon Corporation,3,Tier 6 - Committed
Mindwire Systems Ltd.,3,Tier 6 - Committed
Accenture,3,Tier 6 - Committed
CIMA Canada Inc.,3,Tier 6 - Committed
KPMG Canada,3,Tier 6 - Committed
Braya Renewable Fuels,1,Tier 6 - Committed
Serco Group Plc,3,Tier 6 - Committed
EY Canada,3,Tier 6 - Committed
Stantec Inc.,3,Tier 6 - Committed
Switzer-CARTY Transportation,3,Tier 6 - Committed
Ledcor Industries Inc.,3,Tier 6 - Committed
CompuCom Systems Inc,3,Tier 6 - Committed
Dexterra Group,3,Tier 6 - Committed
Ericsson Canada,3,Tier 3 - Gold
