Participant Name,Stream,Participation tier
ADGA,3,Tier 6 - Committed
Adirondack Information Technology,3,Tier 6 - Committed
ADRM Group Consulting Corp.,3,Tier 6 - Committed
AET Group Inc.,3,Tier 6 - Committed
Armour Valve Ltd.,3,Tier 6 - Committed
Biothermica Technologies,3,Tier 6 - Committed
Copernicus Educational Products,3,Tier 6 - Committed
Columbia Environmental Consulting Inc.,3,Tier 6 - Committed
Experis Canada,3,Tier 6 - Committed
Foresight Canada,3,Tier 6 - Committed
GSI International Consulting Inc.,3,Tier 6 - Committed
I4C Consulting Inc.,3,Tier 6 - Committed
IBISKA Telecom Inc.,3,Tier 6 - Committed
iFathom Corporation,3,Tier 6 - Committed
International Custom Products Inc (ICP),3,Tier 6 - Committed
Le Prix,3,Tier 6 - Committed
Makwa Resourcing Inc.,3,Tier 6 - Committed
Maplesoft Group,3,Tier 6 - Committed
Maverin Inc.,3,Tier 6 - Committed
Moerae Solutions Inc.,3,Tier 6 - Committed
Moderna Manufacturing Canada Corporation,3,Tier 6 - Committed
NavPoint Consultation Group Inc.,3,Tier 6 - Committed
NewFound Recruiting,3,Tier 6 - Committed
Northern Energy Capital,3,Tier 6 - Committed
Nouveau Monde Graphite,3,Tier 6 - Committed
Novex Delivery Solutions,3,Tier 6 - Committed
Onakì Création,3,Tier 6 - Committed
Platinum Pro-claim Restoration Limited,3,Tier 6 - Committed
Raspberry Point Oysters,3,Tier 6 - Committed
BetterTable.ca,3,Tier 6 - Committed
Science North,3,Tier 6 - Committed
Sustainability Advantage,3,Tier 1 - Diamond
SustainAgro Ltd.,3,Tier 6 - Committed
The Employment Solution,3,Tier 6 - Committed
TPG Technology Consulting Ltd.,3,Tier 6 - Committed
TRM Technologies,3,Tier 6 - Committed
True EV Charging,3,Tier 6 - Committed
Alphinat Inc.,3,Tier 6 - Committed
ThinkOn Inc.,3,Tier 6 - Committed
Francis Organizational Consultants Inc. (FOCI),3,Tier 6 - Committed
Bloombase Canada,3,Tier 6 - Committed
Brightspot Climate Inc.,3,Tier 6 - Committed
Tundra Technical Solutions Inc.,3,Tier 6 - Committed
Lemay Co.,3,Tier 6 - Committed
OK Gear Ltd,3,Tier 6 - Committed
Donna Cona,3,Tier 6 - Committed
Montreal Port Authority,3,Tier 6 - Committed
"Calko Group, member of the Canadian Textile Industry Association",3,Tier 6 - Committed
"FilSpec Inc, member of the Canadian Textile Industry Association",3,Tier 6 - Committed
"Davey Textiles Solutions Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed
"Fine Cotton Factory, member of the Canadian Textile Industry Association",3,Tier 6 - Committed
"Logistik Unicorp Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed
"MW Canada LTD, member of the Canadian Textile Industry Association",3,Tier 6 - Committed
"Oratex Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed
Roopa Knitting Mills Ltd,3,Tier 6 - Committed
"Texonic Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed
"Textiles Monterey Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed
"WUXLY, member of the Canadian Textile Industry Association",3,Tier 6 - Committed
"Regitex, member of the Canadian Textile Industry Association",3,Tier 6 - Committed
49 Solutions Inc. & Fast Track Staffing Inc.,3,Tier 6 - Committed
Altis Recruitment,3,Tier 6 - Committed
Kirsch Consulting Group Inc.,3,Tier 6 - Committed
upCyc Foods Ltd.,3,Tier 6 - Committed
Provencher Roy + Associés Architectes Inc,3,Tier 6 - Committed
Quebec Port Authority,3,Tier 6 - Committed
Trois-Rivières Port Authority,3,Tier 6 - Committed
Agri-Tech Canada,3,Tier 6 - Committed
LMNO Consulting,3,Tier 2 - Platinum
Ethical Profit Agency,3,Tier 6 - Committed
GreenStep Solutions Inc.,3,Tier 3 - Gold
Obibox Logistique,3,Tier 6 - Committed
S.i. Systems,3,Tier 6 - Committed
Astraea Energy Inc.,3,Tier 6 - Committed
REIS Future Canada Inc.,3,Tier 6 - Committed
Groupe Axiomatech inc.,3,Tier 6 - Committed
QuantoTech Solutions Ltd,3,Tier 6 - Committed
Keystone Environmental Ltd.,3,Tier 6 - Committed
Timespreneur Ventures Inc.,3,Tier 6 - Committed
ARLANXEO Canada Inc,3,Tier 6 - Committed
Valstroom Inc,3,Tier 6 - Committed
Slate Construction,3,Tier 6 - Committed
STRATEGIA CONSEIL,3,Tier 6 - Committed
Tiree,3,Tier 6 - Committed
Comtech Group Inc.,3,Tier 6 - Committed
Mobile Resource Group Inc.,3,Tier 6 - Committed
T.I.7 Inc. (Innovation 7 Inc.),3,Tier 6 - Committed
Top Shelf Distillers,3,Tier 6 - Committed
VL Energy Ltd,3,Tier 6 - Committed
Core Geoscience Services Inc.,3,Tier 6 - Committed
Daniel J Brant & Associates,3,Tier 6 - Committed
Core6 Environmental Ltd.,3,Tier 6 - Committed
CarbiCrete Inc.,3,Tier 6 - Committed
Mavryck Inc,3,Tier 6 - Committed
Orthoshop Geomatics Ltd,3,Tier 6 - Committed
FNMPC (First Nations Major Projects Coalition) Advisory Centre,3,Tier 6 - Committed
Teal Environmental Inc.,3,Tier 6 - Committed
MCG Canada Inc.,3,Tier 6 - Committed
ThisRock Inc.,3,Tier 6 - Committed
Hypertechnologie CIARA Inc.,3,Tier 6 - Committed
Morning Breeze HealthCare Inc.,3,Tier 6 - Committed
McGill St Laurent Inc.,3,Tier 6 - Committed
Colourific Coatings Ltd.,3,Tier 6 - Committed
Toronto Zoo,3,Tier 6 - Committed
RENO Buildings Canada Inc.,3,Tier 6 - Committed
Cofomo Inc.,3,Tier 6 - Committed
Computacenter Canada Inc.,3,Tier 6 - Committed
RHEA Group Canada,3,Tier 6 - Committed
Buy Social Canada,3,Tier 6 - Committed
Concreteville,3,Tier 6 - Committed
Payments Canada,3,Tier 6 - Committed
Richmond Plywood Corporation Limited,3,Tier 6 - Committed
Urbacon Buildings Group Inc.,3,Tier 6 - Committed
Convertus Group,3,Tier 6 - Committed
Carlsun Energy Solutions Inc,3,Tier 6 - Committed
The Gibbard District,3,Tier 6 - Committed
H.R. Doornekamp Construction Ltd.,3,Tier 6 - Committed
Sinova Quartz,3,Tier 6 - Committed
Patio Drummond,3,Tier 6 - Committed
Varme Energy Inc.,3,Tier 6 - Committed
SunTech Énergie Inc.,3,Tier 6 - Committed
Make Your Mark Today Inc,3,Tier 6 - Committed
Marketing Guardians Inc.,3,Tier 6 - Committed
NEUF architect(e)s inc.,3,Tier 6 - Committed
MadMacDesign Inc.,3,Tier 6 - Committed
Pixforia Inc.,3,Tier 6 - Committed
EarthDaily Analytics Corp.,3,Tier 6 - Committed
INSA Corp.,3,Tier 6 - Committed
Stoneworks Technologies Inc.,3,Tier 6 - Committed
Lunar Medical Inc.,3,Tier 6 - Committed
Hydravion Aventure Inc.,3,Tier 6 - Committed
Geocentrix Technologies Ltd.,3,Tier 6 - Committed
Azimuth Consulting Group Inc.,3,Tier 6 - Committed
Active Earth Engineering Ltd.,3,Tier 6 - Committed
Cryotic Consulting Ltd.,3,Tier 6 - Committed
Blackfin Sports Group,3,Tier 6 - Committed
Cansew Inc.,3,Tier 6 - Committed
Ski Garceau Inc.,3,Tier 6 - Committed
Acden Holdings Limited Partnership,3,Tier 6 - Committed
Coentreprise Cité Caron,3,Tier 6 - Committed
Language School Creusot,3,Tier 6 - Committed
PME Création de valeur inc.,3,Tier 6 - Committed
