Participant Name,Stream,Participation tier,Website/LinkedIn URL
ADGA,3,Tier 6 - Committed,https://www.adga.ca/
Adirondack Information Technology,3,Tier 6 - Committed,https://adirondackhr.ca/
ADRM Group Consulting Corp.,3,Tier 6 - Committed,http://adrmtec.com/
AET Group Inc.,3,Tier 6 - Committed,https://www.aet98.com/about/sustainability/
Armour Valve Ltd.,3,Tier 6 - Committed,https://armourvalve.com/
Biothermica Technologies,3,Tier 6 - Committed,https://www.biothermica.com/
Copernicus Educational Products,3,Tier 6 - Committed,https://www.copernicused.com/
Columbia Environmental Consulting Inc.,3,Tier 6 - Committed,https://columbiaenv.com/columbia-environmental/
Experis Canada,3,Tier 6 - Committed,https://www.experisjobs.ca/ej-ca-en/Working-with-Experis/About-Experis.htm
Foresight Canada,3,Tier 6 - Committed,https://foresightcac.com/
GSI International Consulting Inc.,3,Tier 6 - Committed,https://gsiconsultinggroup.ca/
I4C Consulting Inc.,3,Tier 6 - Committed,https://www.i4c.com/
IBISKA Telecom Inc.,3,Tier 6 - Committed,https://ibiska.com/ibiska-celebrates-17-years/
iFathom Corporation,3,Tier 6 - Committed,https://ifathom.com/
International Custom Products Inc (ICP),3,Tier 6 - Committed,https://icpinc.com/
Le Prix,3,Tier 6 - Committed,https://www.leprixclothing.com/
Makwa Resourcing Inc.,3,Tier 6 - Committed,https://makwaresourcing.com/about-us/
Maplesoft Group,3,Tier 6 - Committed,https://www.maplesoftgroup.com/
Maverin Inc.,3,Tier 6 - Committed,https://www.maverin.com/
Moerae Solutions Inc.,3,Tier 6 - Committed,https://www.msicorp.ca/
Moderna Manufacturing Canada Corporation,3,Tier 6 - Committed,https://www.modernatx.com/
NavPoint Consultation Group Inc.,3,Tier 6 - Committed,https://navpoint.ca/#1461328897545-6227748f-d226
NewFound Recruiting,3,Tier 6 - Committed,https://newfoundrecruiting.com/
Northern Energy Capital,3,Tier 6 - Committed,https://www.northernenergycapital.com/about
Nouveau Monde Graphite,3,Tier 6 - Committed,https://nmg.com/
Novex Delivery Solutions,3,Tier 6 - Committed,https://www.novex.ca/sustainability/
Onakì Création,3,Tier 6 - Committed,https://onaki.ca/en/
Platinum Pro-claim Restoration Limited,3,Tier 6 - Committed,https://ppcr.ca/
Raspberry Point Oysters,3,Tier 6 - Committed,https://raspberrypoint.com/sustainability/
BetterTable.ca,3,Tier 6 - Committed,https://BetterTable.ca
Science North,3,Tier 6 - Committed,https://www.sciencenorth.ca/home
Sustainability Advantage,3,Tier 1 - Diamond,https://sustainabilityadvantage.com/
SustainAgro Ltd.,3,Tier 6 - Committed,https://sustain-agro.com/
The Employment Solution,3,Tier 6 - Committed,https://www.tes.net/about_tes/
TPG Technology Consulting Ltd.,3,Tier 6 - Committed,http://tpgtechnology.com/
TRM Technologies,3,Tier 6 - Committed,http://www.trm.ca/en/index/about-us.html
True EV Charging,3,Tier 6 - Committed,https://www.trueevcharging.com/
Alphinat Inc.,3,Tier 6 - Committed,https://www.alphinat.com/en/company/
ThinkOn Inc.,3,Tier 6 - Committed,https://thinkon.com/
Francis Organizational Consultants Inc. (FOCI),3,Tier 6 - Committed,https://www.foci.dev/
Bloombase Canada,3,Tier 6 - Committed,https://www.bloombase.com/company/
Brightspot Climate Inc.,3,Tier 6 - Committed,https://brightspot.co/
Tundra Technical Solutions Inc.,3,Tier 6 - Committed,https://www.tundratechnical.ca/tundragreen/
Lemay Co.,3,Tier 6 - Committed,https://lemay.com/net-positive/
OK Gear Ltd,3,Tier 6 - Committed,https://www.okstoregear.com/
Donna Cona,3,Tier 6 - Committed,https://www.donnacona.com/about-us/
Montreal Port Authority,3,Tier 6 - Committed,https://www.port-montreal.com/en/
"Calko Group, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://calkogroup.com/
"FilSpec Inc, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://www.filspec.com/
"Davey Textiles Solutions Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://daveytextiles.com/
"Fine Cotton Factory, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://www.finecottonfactory.com/
"Logistik Unicorp Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://www.logistikunicorp.com/en/default.asp?Lang=en&PageName=home%20
"MW Canada LTD, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://www.mwcanada.com/
"Oratex Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://oratex.ca/en/sustainable-development/
