Participant Name,Stream,Participation tier,Website/LinkedIn URL
3M Canada,3,Tier 6 - Committed,https://www.3mcanada.ca/3M/en_CA/company-ca/
Aecon Group Inc,3,Tier 6 - Committed,https://www.aecon.com/
Arcelormittal Dofasco,1,Tier 6 - Committed,https://dofasco.arcelormittal.com/sustainability
Aviva Canada,2,Tier 6 - Committed,https://www.aviva.ca/en/about-aviva/sustainability/climate-action/
BASF Canada,1,Tier 6 - Committed,https://www.basf.com/ca/en.html
BHP Canada,1,Tier 6 - Committed,https://www.bhp.com/sustainability
Calian Group Ltd.,3,Tier 6 - Committed,https://www.calian.com/our-story/
Canada Post,3,Tier 2 - Platinum,https://www.canadapost-postescanada.ca/cpc/en/our-company/about-us/corporate-sustainability/environment-responsibility.page
Carleton University,3,Tier 6 - Committed,https://carleton.ca/
"Cement Association of Canada

Ash Grove Cement - a CRH Company
Federal White Cement, Ltd.
Heidelberg Materials
Lafarge Canada
St Marys Cement - A Votorantim Cimentos Company",1,Tier 5 - Bronze,https://cement.ca/
CN,3,Tier 6 - Committed,https://www.cn.ca/en/
Cogeco,3,Tier 6 - Committed,https://corpo.cogeco.com/cgo/en/sustainability/esg-practices/overview/
Deloitte,3,Tier 6 - Committed,https://www2.deloitte.com/ca/en/pages/about-deloitte/articles/home.html
Edmonton Regional Airports Authority,3,Tier 6 - Committed,https://flyeia.com/corporate/
General Motors of Canada Company,3,Tier 6 - Committed,https://www.gm.ca/en/home.html
Greater Toronto Airports Authority,3,Tier 6 - Committed,https://www.torontopearson.com/en/corporate
Loblaw Companies Limited,3,Tier 6 - Committed,https://www.loblaw.ca/
Microsoft Canada,3,Tier 6 - Committed,https://www.microsoft.com/en-ca/sustainability/
Ottawa International Airport Authority,3,Tier 6 - Committed,https://yow.ca/en
QuadReal Property Group,3,Tier 6 - Committed,https://www.quadreal.com/esg/our-net-zero-commitment/
Shell Canada Limited,1,Tier 3 - Gold,https://www.shell.ca/
Siemens Canada Limited,3,Tier 6 - Committed,https://new.siemens.com/ca/en.html
AtkinsRéalis,3,Tier 6 - Committed,https://www.atkinsrealis.com/en/engineering-better-future/engineering-net-zero
TEKsystems Canada,3,Tier 6 - Committed,https://www.teksystems.com/en-ca/
Vancouver Airport Authority,3,Tier 6 - Committed,https://www.yvr.ca/en/passengers
Woodfibre LNG Limited,1,Tier 6 - Committed,https://woodfibrelng.ca/
CGI Inc.,3,Tier 6 - Committed,https://www.cgi.com/canada/en-ca
Hewlett Packard Enterprise (HPE) Canada,3,Tier 6 - Committed,https://www.hpe.com/us/en/newsroom/sustainability.html
Convergint Technologies Ltd,3,Tier 6 - Committed,https://www.convergint.com/
"Duvaltex Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://duvaltex.com/en/company/
Procom Consultants Group Ltd,3,Tier 6 - Committed,https://procomservices.com/en-us/
CBC/Radio-Canada,3,Tier 6 - Committed,https://cbc.radio-canada.ca/en/impact-and-accountability/environment
Paladin Technologies Inc.,3,Tier 6 - Committed,https://paladintechnologies.com/
NORR Architects & Engineers Limited,3,Tier 6 - Committed,https://norr.com/about/corporate-social-responsibility/energy-carbon/
EBC Inc.,3,Tier 6 - Committed,https://www.ebcinc.com/en/
Pomerleau Inc.,3,Tier 6 - Committed,https://pomerleau.ca/en
AECOM Canada Ltd,3,Tier 6 - Committed,https://aecom.com/ca/
PCL Canada,3,Tier 6 - Committed,https://www.pcl.com/ca/en/services/sustainable-construction-services
Indigo Park Canada,3,Tier 6 - Committed,https://indigoneo.ca/en
WSP Canada Inc.,3,Tier 6 - Committed,https://www.wsp.com/en-ca/
Aéroports de MontréalAeroport - Airport,3,Tier 6 - Committed,https://www.admtl.com/en/adm
Colliers Project Leaders Inc.,3,Tier 6 - Committed,https://www.colliersprojectleaders.com/
Canada Lands Company Limited,3,Tier 6 - Committed,https://www.clc-sic.ca/
BGIS Global Integrated Solutions Canada L.P.,3,Tier 6 - Committed,https://www.bgis.com/
GCT Global Container Terminals,3,Tier 6 - Committed,https://globalterminals.com/
EllisDon Corporation,3,Tier 6 - Committed,https://www.ellisdon.com/corporate-sustainability
Mindwire Systems Ltd.,3,Tier 6 - Committed,https://www.mindwire.ca/
Accenture,3,Tier 6 - Committed,https://www.accenture.com/ca-en
CIMA Canada Inc.,3,Tier 6 - Committed,https://www.cima.ca/en/
KPMG Canada,3,Tier 6 - Committed,N/A
Braya Renewable Fuels,1,Tier 6 - Committed,https://brayafuels.com/
Serco Group Plc,3,Tier 6 - Committed,https://www.serco.com/
EY Canada,3,Tier 6 - Committed,https://www.ey.com/en_ca
Stantec Inc.,3,Tier 6 - Committed,https://www.stantec.com/en
Switzer-CARTY Transportation,3,Tier 6 - Committed,https://switzer-carty.com/
Ledcor Industries Inc.,3,Tier 6 - Committed,https://www.ledcor.com/
CompuCom Systems Inc,3,Tier 6 - Committed,https://www.compucom.com/
Dexterra Group,3,Tier 6 - Committed,https://dexterra.com/
Ericsson Canada,3,Tier 3 - Gold,https://www.ericsson.com/en
